id;text;choices;icon;answer;time;show_answer
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2019-11-23T19:43:43;false
2;transmitter Implementation Electronics;Soap methodology Albania;Home Namibia;Steel zero administration;2019-11-23T11:25:48;false
3;Licensed Savings Account;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner;2019-11-23T00:49:17;false
4;Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;2019-11-23T04:19:21;true
5;convergence;Mayotte;Industrial;connect Markets Chief;2019-11-23T05:52:24;true
6;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;2019-11-23T00:58:13;false
7;Industrial;index orange;Jewelery;monitor;2019-11-23T02:43:36;true
8;Checking Account Identity deposit;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;2019-11-22T22:55:47;true
9;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;2019-11-23T04:56:57;false
10;Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;2019-11-23T05:01:16;false
